date,week,site,rep,plant,flower_count,deadOrAlive
5/20/2025,13,A,12,#12,0,0
5/20/2025,13,A,13,#13,0,1
5/20/2025,13,A,14,#14,0,0
5/20/2025,13,A,15,#15,0,0
5/20/2025,13,A,16,#16,0,1
5/20/2025,13,A,17,#17,0,1
5/20/2025,13,A,18,#18,0,1
5/20/2025,13,A,19,#19,0,1
5/20/2025,13,A,20,#20,0,0
5/28/2025,14,A,1,#1,0,0
5/28/2025,14,A,2,#2,0,1
5/28/2025,14,A,3,#3,1,1
5/28/2025,14,A,4,#4,0,0
5/28/2025,14,A,5,#5,0,0
5/28/2025,14,A,6,#6,0,0
5/28/2025,14,A,7,#7,0,1
5/28/2025,14,A,8,#8,0,1
5/28/2025,14,A,9,#9,0,0
5/28/2025,14,A,10,#10,0,0
5/28/2025,14,A,11,#11,0,0
5/28/2025,14,A,12,#12,0,0
5/28/2025,14,A,13,#13,0,0
5/28/2025,14,A,14,#14,0,0
5/28/2025,14,A,15,#15,0,0
5/28/2025,14,A,16,#16,0,1
5/28/2025,14,A,17,#17,0,1
5/28/2025,14,A,18,#18,0,1
5/28/2025,14,A,19,#19,1,1
5/28/2025,14,A,20,#20,0,0
6/4/2025,15,A,1,#1,0,0
6/4/2025,15,A,2,#2,0,1
6/4/2025,15,A,3,#3,0,1
6/4/2025,15,A,4,#4,0,0
6/4/2025,15,A,5,#5,0,0
6/4/2025,15,A,6,#6,0,0
6/4/2025,15,A,7,#7,0,1
6/4/2025,15,A,8,#8,0,1
6/4/2025,15,A,9,#9,0,0
6/4/2025,15,A,10,#10,0,0
6/4/2025,15,A,11,#11,0,0
6/4/2025,15,A,12,#12,0,0
6/4/2025,15,A,13,#13,0,0
6/4/2025,15,A,14,#14,0,0
6/4/2025,15,A,15,#15,0,0
6/4/2025,15,A,16,#16,0,1
6/4/2025,15,A,17,#17,0,0
6/4/2025,15,A,18,#18,0,0
6/4/2025,15,A,19,#19,0,1
6/4/2025,15,A,20,#20,0,0
6/10/2025,16,A,1,#1,0,0
6/10/2025,16,A,2,#2,1,1
6/10/2025,16,A,3,#3,0,1
6/10/2025,16,A,4,#4,0,0
6/10/2025,16,A,5,#5,0,0
6/10/2025,16,A,6,#6,0,0
6/10/2025,16,A,7,#7,0,1
6/10/2025,16,A,8,#8,0,1
6/10/2025,16,A,9,#9,0,0
6/10/2025,16,A,10,#10,0,0
6/10/2025,16,A,11,#11,0,0
6/10/2025,16,A,12,#12,0,0
6/10/2025,16,A,13,#13,0,0
6/10/2025,16,A,14,#14,0,0
6/10/2025,16,A,15,#15,0,0
6/10/2025,16,A,16,#16,0,1
6/10/2025,16,A,17,#17,0,0
6/10/2025,16,A,18,#18,0,0
6/10/2025,16,A,19,#19,0,1
6/10/2025,16,A,20,#20,0,0
6/17/2025,17,A,1,#1,0,0
6/17/2025,17,A,2,#2,0,1
6/17/2025,17,A,3,#3,0,1
6/17/2025,17,A,4,#4,0,0
6/17/2025,17,A,5,#5,0,0
6/17/2025,17,A,6,#6,0,0
6/17/2025,17,A,7,#7,0,1
6/17/2025,17,A,8,#8,0,1
6/17/2025,17,A,9,#9,0,0
6/17/2025,17,A,10,#10,0,0
6/17/2025,17,A,11,#11,0,0
6/17/2025,17,A,12,#12,0,0
6/17/2025,17,A,13,#13,0,0
6/17/2025,17,A,14,#14,0,0
6/17/2025,17,A,15,#15,0,0
6/17/2025,17,A,16,#16,0,1
6/17/2025,17,A,17,#17,0,0
6/17/2025,17,A,18,#18,0,0
6/17/2025,17,A,19,#19,0,1
6/17/2025,17,A,20,#20,0,0
6/25/2025,18,A,1,#1,0,0
6/25/2025,18,A,2,#2,0,1
6/25/2025,18,A,3,#3,0,0
6/25/2025,18,A,4,#4,0,0
6/25/2025,18,A,5,#5,0,0
6/25/2025,18,A,6,#6,0,0
6/25/2025,18,A,7,#7,0,1
6/25/2025,18,A,8,#8,0,1
6/25/2025,18,A,9,#9,0,0
6/25/2025,18,A,10,#10,0,0
6/25/2025,18,A,11,#11,0,0
6/25/2025,18,A,12,#12,0,0
6/25/2025,18,A,13,#13,0,0
6/25/2025,18,A,14,#14,0,0
6/25/2025,18,A,15,#15,0,0
6/25/2025,18,A,16,#16,0,1
6/25/2025,18,A,17,#17,0,0
6/25/2025,18,A,18,#18,0,0
6/25/2025,18,A,19,#19,1,1
6/25/2025,18,A,20,#20,0,0
7/2/2025,19,A,1,#1,0,0
7/2/2025,19,A,2,#2,0,1
7/2/2025,19,A,3,#3,0,0
7/2/2025,19,A,4,#4,0,0
7/2/2025,19,A,5,#5,0,0
7/2/2025,19,A,6,#6,0,0
7/2/2025,19,A,7,#7,0,0
7/2/2025,19,A,8,#8,0,0
7/2/2025,19,A,9,#9,0,0
7/2/2025,19,A,10,#10,0,0
7/2/2025,19,A,11,#11,0,0
7/2/2025,19,A,12,#12,0,0
7/2/2025,19,A,13,#13,0,0
7/2/2025,19,A,14,#14,0,0
7/2/2025,19,A,15,#15,0,0
7/2/2025,19,A,16,#16,0,1
7/2/2025,19,A,17,#17,0,0
7/2/2025,19,A,18,#18,0,0
7/2/2025,19,A,19,#19,0,1
7/2/2025,19,A,20,#20,0,0
